datetime,D41Z,V42Z,D71Z,D81Z,D82Z,V83Z,V84Z,D811Z,D812Z,V813Z,V814Z,D111Z,D112Z,V113Z,V114Z,D115Z,D121Z,D122Z,V123Z,V124Z,D125Z,D126Z,V521Z,Total
2024-03-02 11:00:00,20,17,12,15,14,24,14,19,28,28,16,19,35,14,15,50,51,24,18,19,69,8,3,532
2024-03-02 11:10:00,22,11,14,20,14,21,15,17,39,25,18,12,19,13,23,31,45,19,18,17,69,12,4,498
2024-03-02 11:20:00,15,15,7,14,17,16,15,16,29,23,13,9,38,9,18,41,60,19,28,20,76,13,4,515
2024-03-02 11:30:00,22,20,4,5,15,15,16,16,26,22,14,11,27,9,20,42,56,23,28,19,74,13,5,502
2024-03-02 11:40:00,17,14,16,12,10,29,13,8,25,22,11,12,27,10,26,43,64,24,24,15,85,13,1,521
2024-03-02 11:50:00,13,17,13,13,17,26,22,16,26,25,13,11,36,10,22,43,57,29,15,17,82,8,3,534
2024-03-02 12:00:00,21,18,9,12,16,18,16,17,31,23,13,12,30,6,16,40,57,26,16,18,71,13,1,500
2024-03-02 12:10:00,13,7,16,14,13,24,11,12,28,19,11,15,40,12,19,51,69,21,21,15,84,11,3,529
2024-03-02 12:20:00,19,20,6,190,24,17,21,25,39,32,20,20,109,13,20,50,70,29,16,21,99,19,2,881
2024-03-02 12:30:00,24,25,15,11,21,28,11,19,30,26,15,15,28,15,15,42,62,34,17,22,90,15,7,587
2024-03-02 12:40:00,28,15,11,12,14,17,13,14,23,23,10,20,43,14,20,54,77,52,18,20,100,18,4,620
