datetime,D11Z,D12Z,D13Z,D14Z,V15Z,V16Z,V17Z,D21Z,D22Z,D23Z,D24Z,V26Z,V27Z,V28Z,V29Z,D31Z,D32Z,D33Z,D34Z,V36Z,V37Z,V38Z,V39Z,V40Z,V41Z,V42Z,D43Z,V45Z,V46Z,V47Z,V48Z,Total
2024-03-01 23:10:00,9,10,8,3,9,10,3,2,7,3,7,2,7,4,7,4,9,5,6,6,12,7,5,0,19,14,9,5,23,18,9,242
2024-03-01 23:20:00,0,10,9,1,14,8,2,0,9,4,2,0,10,5,3,7,10,9,7,7,12,14,9,0,21,14,4,4,20,21,12,248
2024-03-01 23:30:00,0,14,4,1,19,4,1,1,6,1,2,1,6,2,3,5,10,7,5,5,11,8,8,0,20,10,7,3,20,12,6,202
2024-03-01 23:40:00,14,12,10,4,13,10,4,2,11,7,3,2,9,7,8,9,5,5,13,9,10,17,20,0,13,6,3,3,16,5,3,253
2024-03-01 23:50:00,4,14,2,1,28,4,1,0,7,3,1,0,8,5,2,2,5,5,7,3,6,8,9,0,14,8,8,3,20,14,11,203
2024-03-02 00:00:00,3,13,4,0,16,6,0,1,8,0,78,1,7,4,6,0,3,5,7,0,3,9,8,0,8,5,4,1,8,6,5,219
2024-03-02 00:10:00,5,11,1,1,22,3,2,1,6,3,3,0,10,5,3,7,9,3,8,7,10,8,8,0,7,2,7,3,10,5,9,179
2024-03-02 00:20:00,4,8,2,3,8,2,2,1,7,0,1,1,7,2,1,6,4,2,6,6,6,5,8,0,13,5,2,5,17,10,2,146
2024-03-02 00:30:00,2,13,3,1,12,3,0,1,2,5,3,2,3,7,3,0,9,1,5,0,8,3,9,0,11,6,5,2,19,6,4,148
2024-03-02 00:40:00,0,9,2,1,11,2,1,2,6,2,1,2,5,3,2,2,5,4,1,3,5,6,1,0,6,0,2,4,9,0,2,99
2024-03-02 00:50:00,3,5,4,0,5,6,0,1,7,2,4,1,15,6,6,3,4,2,4,2,3,7,3,0,7,1,2,5,12,5,2,127
2024-03-02 01:00:00,1,4,6,0,9,12,0,1,4,1,6,1,3,6,11,6,3,2,3,5,4,2,4,0,18,4,3,1,16,6,4,146
2024-03-02 01:10:00,10,6,3,0,7,4,0,0,3,0,3,0,3,2,2,1,2,4,3,1,1,5,5,0,4,3,3,5,3,4,2,89
2024-03-02 01:20:00,0,6,4,2,9,5,2,0,3,3,2,0,4,5,3,2,4,2,10,2,7,9,7,0,3,2,3,2,6,2,3,112
2024-03-02 01:30:00,1,5,0,1,7,0,1,0,6,4,0,0,7,3,0,1,3,3,5,1,3,6,5,0,3,1,5,1,3,3,5,83
2024-03-02 01:40:00,3,4,1,1,6,1,1,0,2,1,0,0,2,1,0,1,2,2,1,1,2,3,1,0,3,1,2,1,5,0,2,50
2024-03-02 01:50:00,1,2,4,1,2,5,1,0,2,1,3,0,3,4,5,1,5,3,5,1,6,5,7,0,3,1,1,1,4,5,3,85
2024-03-02 02:00:00,2,5,1,1,4,1,1,0,5,0,1,0,6,2,2,3,1,2,7,3,2,6,10,0,5,3,3,2,6,5,2,91
2024-03-02 02:10:00,2,7,2,0,8,2,0,2,1,1,1,2,2,2,0,1,3,0,3,1,4,1,3,0,5,0,0,1,2,0,0,56
2024-03-02 02:20:00,0,5,1,1,8,1,1,0,2,0,2,0,3,2,3,3,1,2,2,3,4,3,4,0,4,1,3,7,8,9,4,87
2024-03-02 02:30:00,7,3,0,1,4,1,1,0,5,1,0,0,5,3,0,2,3,1,3,1,4,3,3,0,2,2,1,1,3,2,1,63
2024-03-02 02:40:00,1,5,0,0,8,0,0,1,5,1,0,1,5,1,0,1,1,0,1,1,3,1,0,0,4,2,1,5,6,5,1,60
2024-03-02 02:50:00,0,0,1,0,0,2,0,1,4,0,0,1,4,0,0,4,1,2,1,4,1,4,1,0,3,1,3,5,5,6,5,59
2024-03-02 03:00:00,0,1,1,0,1,1,0,1,3,1,1,1,3,2,2,2,4,1,3,3,5,2,5,0,4,3,1,3,9,2,1,66
2024-03-02 03:10:00,0,3,1,1,6,1,1,0,0,1,1,0,0,2,2,0,2,2,1,0,2,2,2,0,5,7,2,1,6,4,2,57
2024-03-02 03:20:00,0,4,2,0,6,3,0,0,4,1,1,0,5,2,1,0,1,1,1,0,1,3,1,0,1,1,3,1,1,3,3,50
2024-03-02 03:30:00,0,4,1,0,2,1,0,0,6,0,0,2,9,4,0,2,2,1,3,2,3,1,5,0,3,2,14,3,6,3,2,81
2024-03-02 03:40:00,0,7,4,0,9,6,0,0,1,1,0,0,4,2,0,0,1,8,2,0,2,10,3,0,5,3,3,0,5,2,3,81
2024-03-02 03:50:00,2,3,0,0,3,0,0,0,5,5,1,0,5,4,1,0,2,1,2,0,3,2,4,0,5,0,2,3,9,0,2,64
2024-03-02 04:00:00,1,1,1,0,1,1,0,2,5,1,1,2,8,1,1,0,1,1,4,0,2,5,6,0,3,3,1,1,3,4,1,61
2024-03-02 04:10:00,0,2,1,0,5,1,0,0,3,0,1,0,4,1,1,0,1,0,1,0,1,1,1,0,2,1,0,1,3,0,0,31
2024-03-02 04:20:00,1,2,0,2,1,1,2,1,4,2,0,1,7,2,0,1,1,2,2,1,2,5,2,0,4,3,2,0,6,4,1,62
2024-03-02 04:30:00,0,1,2,0,1,2,0,0,9,5,0,0,12,6,0,2,0,1,1,1,0,2,1,0,4,2,0,2,6,2,0,62
2024-03-02 04:40:00,1,5,1,0,6,2,0,3,3,4,0,2,3,4,0,1,1,0,2,2,1,0,3,0,0,0,1,1,0,0,1,47
